Fecha,Por dia
10 mar 2022,386
11 mar 2022,384
12 mar 2022,403
13 mar 2022,26
14 mar 2022,37
15 mar 2022,365
16 mar 2022,384
17 mar 2022,255
18 mar 2022,335
19 mar 2022,183
20 mar 2022,35
21 mar 2022,23
22 mar 2022,2
23 mar 2022,158
24 mar 2022,116
25 mar 2022,164
26 mar 2022,93
27 mar 2022,15
28 mar 2022,16
29 mar 2022,76
30 mar 2022,83
31 mar 2022,136
1 abr 2022,331
2 abr 2022,43
3 abr 2022,1
4 abr 2022,5
5 abr 2022,43
6 abr 2022,60
7 abr 2022,85
8 abr 2022,77
9 abr 2022,95
10 abr 2022,4
11 abr 2022,2
12 abr 2022,10
13 abr 2022,9
14 abr 2022,14
15 abr 2022,3
16 abr 2022,13
17 abr 2022,15
18 abr 2022,2
19 abr 2022,12
20 abr 2022,16
21 abr 2022,22
22 abr 2022,17
23 abr 2022,15
24 abr 2022,6
25 abr 2022,8
26 abr 2022,24
27 abr 2022,26
28 abr 2022,18
29 abr 2022,15
30 abr 2022,5
1 may 2022,3
2 may 2022,0
3 may 2022,7
4 may 2022,16
5 may 2022,25
6 may 2022,19
7 may 2022,18
8 may 2022,7
9 may 2022,2
10 may 2022,23
11 may 2022,11
12 may 2022,16
13 may 2022,22
14 may 2022,21
15 may 2022,16
16 may 2022,27
17 may 2022,26
18 may 2022,36
19 may 2022,27
20 may 2022,29
21 may 2022,34
22 may 2022,20
23 may 2022,15
24 may 2022,52
25 may 2022,28
26 may 2022,90
27 may 2022,48
28 may 2022,65
29 may 2022,21
30 may 2022,30
31 may 2022,74
1 jun 2022,111
2 jun 2022,91
3 jun 2022,117
4 jun 2022,75
5 jun 2022,59
6 jun 2022,9
7 jun 2022,108
8 jun 2022,136
9 jun 2022,148
10 jun 2022,178
11 jun 2022,135
12 jun 2022,35
13 jun 2022,16
14 jun 2022,211
15 jun 2022,244
16 jun 2022,224
17 jun 2022,287
18 jun 2022,226
19 jun 2022,22
20 jun 2022,30
21 jun 2022,261
22 jun 2022,365
23 jun 2022,357
24 jun 2022,421
25 jun 2022,405
26 jun 2022,93
27 jun 2022,66
28 jun 2022,549
29 jun 2022,598
30 jun 2022,825
1 jul 2022,742
2 jul 2022,798
3 jul 2022,116
4 jul 2022,89
5 jul 2022,1161
6 jul 2022,1284
7 jul 2022,1738
8 jul 2022,1738
9 jul 2022,1361
10 jul 2022,315
11 jul 2022,233
12 jul 2022,1575
13 jul 2022,1830
14 jul 2022,1883
15 jul 2022,2021
16 jul 2022,1883
17 jul 2022,324
18 jul 2022,525
19 jul 2022,1943
20 jul 2022,2195
21 jul 2022,2105
22 jul 2022,2031
23 jul 2022,1896
24 jul 2022,289
25 jul 2022,316
26 jul 2022,2287
27 jul 2022,2332
28 jul 2022,1678
29 jul 2022,1921
30 jul 2022,1713
31 jul 2022,325
1 ago 2022,116
2 ago 2022,1932
3 ago 2022,2064
4 ago 2022,1840
5 ago 2022,1647
6 ago 2022,1272
7 ago 2022,219
8 ago 2022,117
9 ago 2022,1000
10 ago 2022,1098
11 ago 2022,918
12 ago 2022,843
13 ago 2022,775
14 ago 2022,101
15 ago 2022,89
16 ago 2022,741
17 ago 2022,710
18 ago 2022,680
19 ago 2022,603
20 ago 2022,536
21 ago 2022,57
22 ago 2022,41
23 ago 2022,453
24 ago 2022,503
25 ago 2022,412
26 ago 2022,406
27 ago 2022,268
28 ago 2022,34
29 ago 2022,19
30 ago 2022,316
31 ago 2022,265
1 sept 2022,147
2 sept 2022,121
3 sept 2022,78
4 sept 2022,19
5 sept 2022,6
6 sept 2022,106
7 sept 2022,109
8 sept 2022,62
9 sept 2022,109
10 sept 2022,56
11 sept 2022,15
12 sept 2022,9
13 sept 2022,62
14 sept 2022,88
15 sept 2022,71
16 sept 2022,35
17 sept 2022,7
18 sept 2022,4
19 sept 2022,4
